url1,url2,url1_dir,url2_dir,pair,identical
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/glukozamin/en-ucuz-osteo-bi-flex-advanced-triple-strength-120-tablet-fiyati,402410676.html",www.akakce.com/0,www.akakce.com/1,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/kagit-havlu/en-ucuz-familia-plus-3-katli-12-rulo-fiyati,720482240.html",www.akakce.com/0,www.akakce.com/2,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/kedi-mamasi/en-ucuz-pro-plan-elegant-derma-hassas-deri-somonlu-10-kg-yetiskin-kuru-fiyati,566727162.html",www.akakce.com/0,www.akakce.com/3,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/gunes-gozlugu/en-ucuz-ray-ban-4179-unisex-fiyati,277756656.html",www.akakce.com/0,www.akakce.com/4,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/tablet/en-ucuz-ipad-mini-7-nesil-wi-fi-128-gb-8-3-fiyati,798394742.html",www.akakce.com/0,www.akakce.com/5,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/elektrikli-bisiklet/en-ucuz-rks-1s-fiyati,305503054.html",www.akakce.com/0,www.akakce.com/6,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/spor-ayakkabi/en-ucuz-new-balance-408-unisex-fiyati,370565366.html",www.akakce.com/0,www.akakce.com/7,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/gunes-gozlugu/en-ucuz-persol-steve-mcqueen-po714sm-95-b1-black-dark-grey-erkek-fiyati,875573556.html",www.akakce.com/0,www.akakce.com/8,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/elektrikli-scooter/en-ucuz-segway-ninebot-kickscooter-f2-pro-fiyati,131983292.html",www.akakce.com/0,www.akakce.com/9,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/gunes-gozlugu/en-ucuz-ray-ban-scuderia-ferrari-3703m-f00771-silver-dark-green-erkek-fiyati,969753176.html",www.akakce.com/0,www.akakce.com/10,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/gunes-gozlugu/en-ucuz-ray-ban-rb3016-w0365-51-unisex-fiyati,1643899030.html",www.akakce.com/0,www.akakce.com/11,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/elektrikli-bisiklet/en-ucuz-rks-rd8-20-250-w-elektrikli-fiyati,1850182626.html",www.akakce.com/0,www.akakce.com/12,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/elektrikli-scooter/en-ucuz-navee-n65-500w-elektirikli-fiyati,1958594929.html",www.akakce.com/0,www.akakce.com/13,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ape-ryder-bonobo-siyah-fiyati,773889973.html",www.akakce.com/0,www.akakce.com/14,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/kol-saati/en-ucuz-seiko-srpe15j-erkek-fiyati,760287908.html",www.akakce.com/0,www.akakce.com/15,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/akilli-saat/en-ucuz-huawei-watch-gt-5-pro-46mm-titanyum-fiyati,769162476.html",www.akakce.com/0,www.akakce.com/16,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/gunes-gozlugu/en-ucuz-ray-ban-4179-unisex-fiyati,277756656.html#/8719/?s=10&v=13275&p=277756656&c=23112&g=960434039&f=%2Fr%2F%3Fpr%3D277756656%26vd%3D13275%26pg%3D960434039",www.akakce.com/0,www.akakce.com/17,itemitem,True
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html","https://www.akakce.com/gunes-gozlugu/en-ucuz-persol-po3315s-96-3r-brown-dark-blue-erkek-fiyati,843387608.html",www.akakce.com/0,www.akakce.com/18,itemitem,True
