url,dir
https://towardsdatascience.com/,0
https://towardsdatascience.com/latest,1
https://towardsdatascience.com/deep-dives/home,2
https://towardsdatascience.com/about,3
https://towardsdatascience.com/how-to-run-jupyter-notebooks-and-generate-html-reports-with-python-scripts-48e0d96a30ed?source=collection_home---4------0-----------------------,4
https://towardsdatascience.com/missing-data-in-time-series-machine-learning-techniques-part-2-86fac838d1ce?source=collection_home---4------8-----------------------,5
https://towardsdatascience.com/how-large-language-models-llms-learn-playing-games-cb023d780401?source=collection_home---4------2-----------------------,6
https://towardsdatascience.com/what-to-do-if-the-logit-decision-boundary-fails-b8883e2abacc?source=collection_home---4------1-----------------------,7
https://towardsdatascience.com/sentiment-analysis-with-transformers-a-complete-deep-learning-project-pt-i-d4ca7e47d676?source=collection_home---4------0-----------------------,8
https://towardsdatascience.com/advanced-pandas-techniques-for-data-processing-and-performance-23f9026d21f5?source=collection_home---4------4-----------------------,9
https://towardsdatascience.com/building-autonomous-multi-tool-agents-with-gemini-2-0-and-langgraph-ad3d7bd5e79d?source=collection_home---4------1-----------------------,10
https://towardsdatascience.com/@jamesbarney71,11
https://towardsdatascience.com/@CVxTz,12
https://towardsdatascience.com/@james-thorn,13
https://towardsdatascience.com/@towardsdatascience,14
https://towardsdatascience.com/@lukaszgatarek81,15
https://towardsdatascience.com/@amandaiglesiasmoreno,16
https://towardsdatascience.com/@iampratheesh,17
https://towardsdatascience.com/@panData,18
https://towardsdatascience.com/@saranobregafn,19
https://towardsdatascience.com/@alexdremov,20
https://towardsdatascience.com/@garnier_25473,21
https://towardsdatascience.com/editors-picks/home,22
https://towardsdatascience.com/the-data-scientists-dilemma-answering-what-if-questions-without-experiments-866a1412342a?source=collection_home---4------7-----------------------,23
https://towardsdatascience.com/are-metas-ai-profiles-unethical-a157ec05a58f?source=collection_home---4------5-----------------------,24
https://towardsdatascience.com/questions-96667b06af5,25
https://towardsdatascience.com/speed-up-pytorch-with-custom-kernels-but-it-gets-progressively-darker-e5a057796269?source=collection_home---4------6-----------------------,26
https://towardsdatascience.com/llm-evaluation-parallel-computing-demand-forecasting-and-other-hands-on-data-science-approaches-445f684b01dc?source=collection_home---4------3-----------------------,27
https://towardsdatascience.com/about-us/home,28
https://towardsdatascience.com/archive,29
